"Subject"	"Session"	"DemoAge.RESP"	"DemoEthnicity.RESP"	"DemoGender.RESP"	"DemoRace.RESP"	"responseMappingTool"	"Block"	"Procedure.Block."	"toolResponse"	"weaponResponse"	"Trial"	"blockName"	"Practice.Trial."	"SubTrial"	"CorrectResponse"	"facePictureFile"	"ITIDuration"	"PrimeType"	"responseAccData"	"rtFeedbackText"	"targetPictureFile"	"TargetType"	"TargetWIT.ACC"	"TargetWIT.CRESP"	"TargetWIT.RESP"	"TargetWIT.RT"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	11	"l"	"blackFace8.bmp"	"1000"	"black"	"1"	"+"	"tool3.bmp"	"tool"	"0"	"l"	"a"	"378"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	12	"a"	"whiteFace6.bmp"	"800"	"white"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"450"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	13	"l"	"blackFace7.bmp"	"1200"	"black"	"2"	"+"	"tool4.bmp"	"tool"	"1"	"l"	"l"	"481"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	14	"l"	"blackFace2.bmp"	"1000"	"black"	"2"	"+"	"tool2.bmp"	"tool"	"1"	"l"	"l"	"425"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	15	"a"	"whiteFace1.bmp"	"1000"	"white"	"3"	"TOO SLOW"	"weapon2.bmp"	"weapon"	"0"	"a"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	16	"a"	"whiteFace1.bmp"	"800"	"white"	"3"	"TOO SLOW"	"weapon4.bmp"	"weapon"	"0"	"a"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	17	"l"	"blackFace5.bmp"	"1200"	"black"	"2"	"+"	"tool4.bmp"	"tool"	"1"	"l"	"l"	"453"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	18	"a"	"blackFace2.bmp"	"1200"	"black"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"324"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	19	"l"	"blackFace7.bmp"	"800"	"black"	"1"	"+"	"tool3.bmp"	"tool"	"0"	"l"	"a"	"396"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	20	"l"	"whiteFace1.bmp"	"1000"	"white"	"3"	"TOO SLOW"	"tool2.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	21	"a"	"blackFace1.bmp"	"800"	"black"	"1"	"+"	"weapon2.bmp"	"weapon"	"0"	"a"	"l"	"210"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	22	"l"	"whiteFace4.bmp"	"1200"	"white"	"1"	"+"	"tool4.bmp"	"tool"	"0"	"l"	"a"	"370"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	23	"l"	"blackFace2.bmp"	"1000"	"black"	"2"	"+"	"tool4.bmp"	"tool"	"1"	"l"	"l"	"441"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	24	"l"	"whiteFace7.bmp"	"1200"	"white"	"3"	"TOO SLOW"	"tool4.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	25	"a"	"blackFace2.bmp"	"800"	"black"	"2"	"+"	"weapon3.bmp"	"weapon"	"1"	"a"	"a"	"480"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	26	"a"	"whiteFace3.bmp"	"1000"	"white"	"2"	"+"	"weapon2.bmp"	"weapon"	"1"	"a"	"a"	"391"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	27	"a"	"whiteFace8.bmp"	"800"	"white"	"1"	"+"	"weapon1.bmp"	"weapon"	"0"	"a"	"l"	"439"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	28	"l"	"whiteFace1.bmp"	"1200"	"white"	"3"	"TOO SLOW"	"tool4.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	29	"l"	"whiteFace7.bmp"	"1000"	"white"	"1"	"+"	"tool1.bmp"	"tool"	"0"	"l"	"a"	"293"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	30	"l"	"blackFace1.bmp"	"1000"	"black"	"3"	"TOO SLOW"	"tool3.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	31	"l"	"blackFace1.bmp"	"800"	"black"	"2"	"+"	"tool4.bmp"	"tool"	"1"	"l"	"l"	"252"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	32	"a"	"whiteFace4.bmp"	"1200"	"white"	"2"	"+"	"weapon4.bmp"	"weapon"	"1"	"a"	"a"	"411"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	33	"a"	"whiteFace3.bmp"	"800"	"white"	"2"	"+"	"weapon4.bmp"	"weapon"	"1"	"a"	"a"	"411"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	34	"a"	"blackFace1.bmp"	"1200"	"black"	"2"	"+"	"weapon3.bmp"	"weapon"	"1"	"a"	"a"	"490"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	35	"l"	"whiteFace5.bmp"	"1000"	"white"	"2"	"+"	"tool1.bmp"	"tool"	"1"	"l"	"l"	"402"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	36	"l"	"whiteFace3.bmp"	"1200"	"white"	"1"	"+"	"tool1.bmp"	"tool"	"0"	"l"	"a"	"417"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	37	"l"	"whiteFace2.bmp"	"1000"	"white"	"1"	"+"	"tool2.bmp"	"tool"	"0"	"l"	"a"	"304"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	38	"a"	"whiteFace7.bmp"	"800"	"white"	"3"	"TOO SLOW"	"weapon4.bmp"	"weapon"	"0"	"a"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	39	"a"	"blackFace6.bmp"	"1200"	"black"	"1"	"+"	"weapon3.bmp"	"weapon"	"0"	"a"	"l"	"263"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	40	"a"	"blackFace5.bmp"	"800"	"black"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"230"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	41	"l"	"whiteFace3.bmp"	"1000"	"white"	"1"	"+"	"tool2.bmp"	"tool"	"0"	"l"	"a"	"382"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	42	"l"	"whiteFace7.bmp"	"1000"	"white"	"1"	"+"	"tool3.bmp"	"tool"	"0"	"l"	"a"	"421"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	43	"l"	"blackFace8.bmp"	"800"	"black"	"2"	"+"	"tool1.bmp"	"tool"	"1"	"l"	"l"	"388"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	44	"a"	"blackFace7.bmp"	"1200"	"black"	"1"	"+"	"weapon2.bmp"	"weapon"	"0"	"a"	"l"	"380"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	45	"a"	"blackFace8.bmp"	"800"	"black"	"2"	"+"	"weapon2.bmp"	"weapon"	"1"	"a"	"a"	"363"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	46	"l"	"blackFace3.bmp"	"1000"	"black"	"1"	"+"	"tool4.bmp"	"tool"	"0"	"l"	"a"	"323"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	47	"a"	"blackFace3.bmp"	"1200"	"black"	"1"	"+"	"weapon2.bmp"	"weapon"	"0"	"a"	"l"	"354"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	48	"a"	"whiteFace6.bmp"	"1000"	"white"	"2"	"+"	"weapon4.bmp"	"weapon"	"1"	"a"	"a"	"328"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	49	"a"	"whiteFace5.bmp"	"1200"	"white"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"376"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	50	"l"	"blackFace3.bmp"	"800"	"black"	"1"	"+"	"tool3.bmp"	"tool"	"0"	"l"	"a"	"343"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	51	"l"	"whiteFace5.bmp"	"800"	"white"	"3"	"TOO SLOW"	"tool4.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	52	"l"	"blackFace6.bmp"	"1200"	"black"	"2"	"+"	"tool3.bmp"	"tool"	"1"	"l"	"l"	"333"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	53	"l"	"blackFace4.bmp"	"1000"	"black"	"2"	"+"	"tool4.bmp"	"tool"	"1"	"l"	"l"	"164"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	54	"l"	"whiteFace6.bmp"	"1000"	"white"	"1"	"+"	"tool2.bmp"	"tool"	"0"	"l"	"a"	"276"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	55	"l"	"whiteFace6.bmp"	"800"	"white"	"1"	"+"	"tool3.bmp"	"tool"	"0"	"l"	"a"	"347"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	56	"a"	"blackFace7.bmp"	"1200"	"black"	"1"	"+"	"weapon3.bmp"	"weapon"	"0"	"a"	"l"	"315"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	57	"a"	"blackFace5.bmp"	"1000"	"black"	"2"	"+"	"weapon4.bmp"	"weapon"	"1"	"a"	"a"	"386"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	58	"l"	"whiteFace8.bmp"	"1200"	"white"	"3"	"TOO SLOW"	"tool2.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	59	"a"	"blackFace3.bmp"	"800"	"black"	"2"	"+"	"weapon4.bmp"	"weapon"	"1"	"a"	"a"	"320"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	60	"l"	"blackFace4.bmp"	"1200"	"black"	"2"	"+"	"tool1.bmp"	"tool"	"1"	"l"	"l"	"359"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	61	"l"	"blackFace3.bmp"	"1000"	"black"	"1"	"+"	"tool1.bmp"	"tool"	"0"	"l"	"a"	"415"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	62	"a"	"whiteFace3.bmp"	"800"	"white"	"1"	"+"	"weapon3.bmp"	"weapon"	"0"	"a"	"l"	"342"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	63	"l"	"blackFace3.bmp"	"800"	"black"	"3"	"TOO SLOW"	"tool2.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	64	"a"	"whiteFace1.bmp"	"1000"	"white"	"1"	"+"	"weapon1.bmp"	"weapon"	"0"	"a"	"l"	"292"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	65	"a"	"whiteFace1.bmp"	"1200"	"white"	"2"	"+"	"weapon3.bmp"	"weapon"	"1"	"a"	"a"	"371"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	66	"l"	"blackFace6.bmp"	"800"	"black"	"1"	"+"	"tool2.bmp"	"tool"	"0"	"l"	"a"	"411"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	67	"l"	"whiteFace6.bmp"	"1200"	"white"	"1"	"+"	"tool1.bmp"	"tool"	"0"	"l"	"a"	"362"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	68	"a"	"blackFace2.bmp"	"1000"	"black"	"2"	"+"	"weapon4.bmp"	"weapon"	"1"	"a"	"a"	"370"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	69	"l"	"blackFace1.bmp"	"1200"	"black"	"2"	"+"	"tool1.bmp"	"tool"	"1"	"l"	"l"	"305"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	70	"l"	"blackFace6.bmp"	"1000"	"black"	"1"	"+"	"tool4.bmp"	"tool"	"0"	"l"	"a"	"336"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	71	"a"	"blackFace6.bmp"	"800"	"black"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"408"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	72	"a"	"whiteFace5.bmp"	"1200"	"white"	"1"	"+"	"weapon4.bmp"	"weapon"	"0"	"a"	"l"	"399"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	73	"l"	"whiteFace8.bmp"	"1000"	"white"	"3"	"TOO SLOW"	"tool3.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	74	"a"	"whiteFace7.bmp"	"800"	"white"	"2"	"+"	"weapon3.bmp"	"weapon"	"1"	"a"	"a"	"421"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	75	"l"	"whiteFace2.bmp"	"1200"	"white"	"1"	"+"	"tool4.bmp"	"tool"	"0"	"l"	"a"	"428"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	76	"a"	"whiteFace3.bmp"	"1000"	"white"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"388"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	77	"l"	"blackFace8.bmp"	"800"	"black"	"2"	"+"	"tool2.bmp"	"tool"	"1"	"l"	"l"	"259"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	78	"a"	"whiteFace5.bmp"	"800"	"white"	"2"	"+"	"weapon2.bmp"	"weapon"	"1"	"a"	"a"	"282"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	79	"a"	"blackFace1.bmp"	"1200"	"black"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"330"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	80	"l"	"whiteFace4.bmp"	"1000"	"white"	"2"	"+"	"tool3.bmp"	"tool"	"1"	"l"	"l"	"344"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	81	"l"	"whiteFace2.bmp"	"800"	"white"	"3"	"TOO SLOW"	"tool1.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	82	"l"	"blackFace7.bmp"	"1000"	"black"	"1"	"+"	"tool2.bmp"	"tool"	"0"	"l"	"a"	"278"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	83	"l"	"blackFace5.bmp"	"1200"	"black"	"3"	"TOO SLOW"	"tool2.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	84	"l"	"whiteFace1.bmp"	"1200"	"white"	"1"	"+"	"tool3.bmp"	"tool"	"0"	"l"	"a"	"237"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	85	"a"	"blackFace8.bmp"	"800"	"black"	"1"	"+"	"weapon1.bmp"	"weapon"	"0"	"a"	"l"	"260"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	86	"a"	"blackFace4.bmp"	"1000"	"black"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"300"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	87	"a"	"blackFace3.bmp"	"1200"	"black"	"1"	"+"	"weapon1.bmp"	"weapon"	"0"	"a"	"l"	"235"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	88	"a"	"blackFace4.bmp"	"1000"	"black"	"2"	"+"	"weapon2.bmp"	"weapon"	"1"	"a"	"a"	"179"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	89	"l"	"blackFace6.bmp"	"800"	"black"	"3"	"TOO SLOW"	"tool1.bmp"	"tool"	"0"	"l"	""	"0"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	90	"a"	"blackFace8.bmp"	"1000"	"black"	"1"	"+"	"weapon4.bmp"	"weapon"	"0"	"a"	"l"	"81"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	91	"a"	"whiteFace4.bmp"	"1200"	"white"	"2"	"+"	"weapon1.bmp"	"weapon"	"1"	"a"	"a"	"97"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	92	"l"	"whiteFace5.bmp"	"800"	"white"	"2"	"+"	"tool2.bmp"	"tool"	"1"	"l"	"l"	"240"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	93	"l"	"blackFace5.bmp"	"800"	"black"	"2"	"+"	"tool3.bmp"	"tool"	"1"	"l"	"l"	"175"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	94	"a"	"whiteFace4.bmp"	"1200"	"white"	"2"	"+"	"weapon2.bmp"	"weapon"	"1"	"a"	"a"	"239"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	95	"l"	"blackFace4.bmp"	"1000"	"black"	"1"	"+"	"tool2.bmp"	"tool"	"0"	"l"	"a"	"206"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	96	"a"	"whiteFace2.bmp"	"800"	"white"	"1"	"+"	"weapon1.bmp"	"weapon"	"0"	"a"	"l"	"229"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	97	"a"	"whiteFace8.bmp"	"1200"	"white"	"2"	"+"	"weapon2.bmp"	"weapon"	"1"	"a"	"a"	"336"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	98	"a"	"blackFace4.bmp"	"1000"	"black"	"1"	"+"	"weapon3.bmp"	"weapon"	"0"	"a"	"l"	"231"
1	1	1	3	2	5	"toolRight"	1	"WITproc"	"l"	"a"	2	"WIT"	"no"	99	"l"	"whiteFace4.bmp"	"1000"	"white"	"1"	"+"	"tool1.bmp"	"tool"	"0"	"l"	"a"	"326"
